employer,period_begin,period_end,post_date,salary,sheltered,unsheltered,total
Acadia,7/1/1993,7/31/1993,8/3/1993,937.8,0,65.65,65.65
Acadia,8/1/1993,8/31/1993,9/2/1993,553.8,0,38.76,38.76
Acadia,9/1/1993,9/30/1993,10/5/1993,553.8,0,38.76,38.76
Acadia,10/1/1993,10/31/1993,11/4/1993,553.8,0,38.76,38.76
Acadia,11/1/1993,11/30/1993,12/6/1993,553.8,0,38.76,38.76
Acadia,12/1/1993,12/31/1993,1/4/1994,553.8,0,38.76,38.76
Acadia,1/1/1994,1/31/1994,2/4/1994,553.8,0,38.76,38.76
Acadia,2/1/1994,2/28/1994,3/4/1994,553.8,0,38.76,38.76
Acadia,3/1/1994,3/31/1994,4/7/1994,553.8,0,38.76,38.76
Acadia,4/1/1994,4/30/1994,5/5/1994,553.8,0,38.76,38.76
Acadia,5/1/1994,5/31/1994,6/6/1994,553.8,0,38.76,38.76
Acadia,6/1/1994,6/30/1994,7/7/1994,553.8,0,38.76,38.76
Acadia,7/1/1994,7/31/1994,8/8/1994,553.8,0,38.76,38.76
Acadia,8/1/1994,8/31/1994,9/2/1994,553.8,0,38.76,38.76
Acadia,9/1/1994,9/30/1994,10/11/1994,553.8,0,38.76,38.76
Acadia,10/1/1994,10/31/1994,11/8/1994,553.8,0,38.76,38.76
Acadia,11/1/1994,11/30/1994,12/6/1994,553.8,0,38.76,38.76
Acadia,12/1/1994,12/31/1994,1/3/1995,553.8,0,38.76,38.76
Acadia,1/1/1995,1/31/1995,2/7/1995,553.8,0,38.76,38.76
Acadia,2/1/1995,2/28/1995,3/9/1995,553.8,0,38.76,38.76
Acadia,3/1/1995,3/31/1995,4/5/1995,553.8,0,38.76,38.76
Acadia,4/1/1995,4/30/1995,5/2/1995,553.8,0,38.76,38.76
Acadia,5/1/1995,5/31/1995,6/6/1995,553.8,0,38.76,38.76
Acadia,6/1/1995,6/30/1995,7/5/1995,553.8,0,38.76,38.76
Acadia,7/1/1995,7/31/1995,8/1/1995,553.8,0,38.76,38.76
Acadia,8/1/1995,8/31/1995,9/12/1995,553.8,0,38.76,38.76
Acadia,9/1/1995,9/30/1995,10/3/1995,553.8,0,38.76,38.76
Acadia,10/1/1995,10/31/1995,11/7/1995,553.8,0,38.76,38.76
Acadia,11/1/1995,11/30/1995,12/5/1995,553.8,0,38.76,38.76
Acadia,12/1/1995,12/31/1995,1/5/1996,553.8,0,38.76,38.76
Acadia,1/1/1996,1/31/1996,2/8/1996,553.8,0,38.76,38.76
Acadia,2/1/1996,2/28/1996,3/5/1996,553.8,0,38.76,38.76
Acadia,3/1/1996,3/31/1996,4/2/1996,553.8,0,38.76,38.76
Acadia,4/1/1996,4/30/1996,5/2/1996,553.8,0,38.76,38.76
Acadia,5/1/1996,5/31/1996,6/4/1996,553.8,0,38.76,38.76
Acadia,6/1/1996,6/30/1996,7/2/1996,553.8,0,38.76,38.76
Acadia,7/1/1996,7/31/1996,8/6/1996,553.8,0,38.76,38.76
Acadia,8/1/1996,8/31/1996,9/5/1996,553.8,0,38.76,38.76
Acadia,9/1/1996,9/30/1996,10/3/1996,553.8,0,38.76,38.76
Acadia,10/1/1996,10/31/1996,11/12/1996,553.8,0,38.76,38.76
Acadia,11/1/1996,11/30/1996,12/9/1996,553.8,0,38.76,38.76
Acadia,12/1/1996,12/31/1996,1/9/1997,553.8,0,38.76,38.76
Acadia,1/1/1997,1/31/1997,2/6/1997,553.8,0,38.76,38.76
Acadia,2/1/1997,2/28/1997,3/11/1997,553.8,0,38.76,38.76
Acadia,3/1/1997,3/31/1997,4/3/1997,553.8,0,38.76,38.76
Acadia,4/1/1997,4/30/1997,5/8/1997,553.8,0,38.76,38.76
Acadia,5/1/1997,5/31/1997,6/10/1997,553.8,0,38.76,38.76
Acadia,6/1/1997,6/30/1997,7/8/1997,553.8,0,38.76,38.76
Acadia,7/1/1997,7/31/1997,8/6/1997,553.8,0,38.76,38.76
Acadia,8/1/1997,8/31/1997,9/3/1997,553.8,0,38.76,38.76
Acadia,9/1/1997,9/30/1997,10/7/1997,553.8,0,38.76,38.76
Acadia,10/1/1997,10/31/1997,6/3/2021,553.8,0,38.76,38.76
Acadia,11/1/1997,11/30/1997,11/12/1997,553.8,0,38.76,38.76
Acadia,11/1/1997,11/30/1997,12/4/1997,553.8,0,38.76,38.76
Acadia,11/1/1997,11/30/1997,6/3/2021,-553.8,0,-38.76,-38.76
Acadia,12/1/1997,12/31/1997,1/8/1998,553.8,0,38.76,38.76
Acadia,1/1/1998,1/31/1998,2/5/1998,553.8,0,38.76,38.76
Acadia,2/1/1998,2/28/1998,3/5/1998,553.8,0,38.76,38.76
Acadia,3/1/1998,3/31/1998,4/6/1998,553.8,0,38.76,38.76
Acadia,4/1/1998,4/30/1998,5/5/1998,553.8,0,38.76,38.76
Acadia,5/1/1998,5/31/1998,6/2/1998,553.8,0,38.76,38.76
Acadia,6/1/1998,6/30/1998,7/7/1998,553.8,0,38.76,38.76
Acadia,7/1/1998,7/31/1998,8/4/1998,553.8,0,38.76,38.76
Acadia,8/1/1998,8/31/1998,8/31/1998,553.8,0,38.76,38.76
Acadia,9/1/1998,9/30/1998,10/6/1998,553.8,0,38.76,38.76
Acadia,10/1/1998,10/31/1998,11/4/1998,553.8,0,38.76,38.76
Acadia,11/1/1998,11/30/1998,12/3/1998,553.8,0,38.76,38.76
Acadia,12/1/1998,12/31/1998,1/14/1999,553.8,0,38.76,38.76
Acadia,1/1/1999,1/31/1999,2/9/1999,553.8,0,38.76,38.76
Acadia,2/1/1999,2/28/1999,3/4/1999,553.8,0,38.76,38.76
Acadia,3/1/1999,3/31/1999,4/6/1999,553.8,0,38.76,38.76
Acadia,4/1/1999,4/30/1999,5/6/1999,553.8,0,38.76,38.76
Acadia,5/1/1999,5/31/1999,6/8/1999,553.8,0,38.76,38.76
Acadia,6/1/1999,6/30/1999,7/6/1999,553.8,0,38.76,38.76
Acadia,7/1/1999,7/31/1999,8/5/1999,"1,165.86",0,81.62,81.62
