employer,period_begin,period_end,post_date,salary,sheltered,unsheltered,total
Ascension,3/1/2005,3/31/2005,4/14/2005,"1,305.60",91.39,0,91.39
Ascension,6/1/2005,6/30/2005,7/12/2005,"2,550.60",178.53,0,178.53
Ascension,9/1/2005,9/30/2005,11/18/2005,"2,605.62",182.39,0,182.39
Ascension,12/1/2005,12/31/2005,1/11/2006,"2,657.19",186,0,186
Ascension,3/1/2006,3/31/2006,4/12/2006,"2,844.39",199.1,0,199.1
Ascension,6/1/2006,6/30/2006,7/11/2006,"2,937.99",205.65,0,205.65
Ascension,9/1/2006,9/30/2006,10/10/2006,"3,001.01",210.06,0,210.06
Ascension,12/1/2006,12/31/2006,1/16/2007,"3,057.60",214.02,0,214.02
Ascension,3/1/2007,3/31/2007,4/9/2007,"3,057.60",214.02,0,214.02
Ascension,6/1/2007,6/30/2007,7/2/2007,"3,057.60",214.02,0,214.02
Ascension,9/1/2007,9/30/2007,10/15/2006,"3,313.29",231.93,0,231.93
Ascension,12/1/2007,12/31/2007,1/15/2008,"3,374.79",236.25,0,236.25
Ascension,3/1/2008,3/31/2008,4/22/2008,"3,374.79",236.25,0,236.25
Ascension,6/1/2008,6/30/2008,7/11/2008,"3,374.79",236.25,0,236.25
Ascension,9/1/2008,9/30/2008,10/10/2008,"4,456.12",311.92,0,311.92
Ascension,12/1/2008,12/31/2008,1/12/2009,"4,456.41",311.94,0,311.94
Ascension,3/1/2009,3/31/2009,4/15/2009,"4,456.41",311.94,0,311.94
Ascension,6/1/2009,6/30/2009,7/9/2009,"4,456.41","31,194.00",0,"31,194.00"
Ascension,6/1/2009,6/30/2009,7/9/2009,"-4,456.41","-31,194.00",0,"-31,194.00"
Ascension,6/1/2009,6/30/2009,7/13/2009,"4,456.41",311.94,0,311.94
Ascension,9/1/2009,9/30/2009,10/13/2009,"4,549.55",318.47,0,318.47
Ascension,12/1/2009,12/31/2009,1/10/2010,"4,633.20",324.33,0,324.33
Ascension,3/1/2010,3/31/2010,4/13/2010,"4,633.20",324.33,0,324.33
Ascension,6/1/2010,6/30/2010,7/14/2010,"4,633.20",324.33,0,324.33
Ascension,9/1/2010,9/30/2010,10/15/2010,"4,633.20",324.33,0,324.33
Ascension,12/1/2010,12/31/2010,1/11/2011,"4,633.20",324.33,0,324.33
